rank,name,country,overall_score,research_qlt_score,industry_score,intl_outlook_score,research_env_score,teaching_score
97,University of Copenhagen,Denmark,66.6,92.0,90.4,79.3,51.8,49.1
=98,Emory University,United States,66.3,95.3,83.6,67.4,46.2,53.9
=98,University of Sheffield,United Kingdom,66.3,90.1,94.0,91.8,49.1,48.7
=100,Penn State (Main campus),United States,66.2,83.0,70.9,57.6,62.3,54.5
=100,University of Tübingen,Germany,66.2,89.0,99.8,73.0,55.1,47.8
=102,Sungkyunkwan University (SKKU),South Korea,66.1,79.3,99.5,63.7,56.7,58.1
=102,Yonsei University (Seoul campus),South Korea,66.1,84.4,99.9,47.2,56.2,57.5
=104,Free University of Berlin,Germany,65.8,82.7,71.0,81.7,59.6,49.9
=104,University of Bern,Switzerland,65.8,92.8,99.1,87.1,47.9,46.1
106,University of Warwick,United Kingdom,65.7,89.0,69.3,96.2,51.5,47.9
=107,Erasmus University Rotterdam,Netherlands,65.6,96.7,88.7,88.5,53.3,37.2
=107,Lomonosov Moscow State UniversityRussian Federation,Russian Federation,65.6,33.3,91.4,72.7,74.4,84.4
=107,University of Helsinki,Finland,65.6,90.9,68.2,59.2,58.0,48.8
=110,Aarhus University,Denmark,65.5,84.3,99.7,79.4,59.4,44.2
=110,University of Vienna,Austria,65.5,78.6,74.5,94.6,61.0,48.0
=112,Ghent University,Belgium,65.4,84.2,99.9,64.7,59.5,47.7
=112,Rice University,United States,65.4,88.4,72.5,85.2,46.1,55.1
=112,"University of Maryland, College Park",United States,65.4,92.1,71.6,49.4,57.7,49.0
115,University of Southampton,United Kingdom,65.3,91.2,72.7,96.7,47.7,47.2
=116,McMaster University,Canada,65.2,93.0,100.0,87.6,50.2,41.2
=116,Ohio State University (Main campus),United States,65.2,87.6,83.6,58.4,51.7,55.0
=116,University of Alberta,Canada,65.2,79.3,100.0,90.4,56.7,48.2
=116,University of Oslo,Norway,65.2,91.6,74.5,77.7,52.4,46.6
120,Tohoku University,Japan,65.0,53.1,100.0,59.9,69.6,69.0
121,University of Göttingen,Germany,64.8,88.2,70.7,70.5,54.0,49.2
122,Michigan State University,United States,64.7,83.5,70.0,69.1,53.5,54.9
123,University of Leeds,United Kingdom,64.5,87.0,71.2,94.6,51.0,46.4
124,Technical University of Denmark,Denmark,64.4,84.0,99.8,92.2,46.8,49.8
125,Université de Montréal,Canada,64.3,79.5,97.8,86.8,53.2,49.3
126,University of Basel,Switzerland,64.2,86.0,99.7,95.1,42.7,50.5
127,University of Rochester,United States,63.9,87.8,91.6,80.1,44.5,50.8
=128,University of Adelaide,Australia,63.8,92.3,93.5,92.0,48.1,39.1
=128,University of Freiburg,Germany,63.8,86.9,100.0,73.1,51.3,45.4
=130,University of Florida,United States,63.6,79.1,89.9,50.7,56.8,54.4
=130,Uppsala University,Sweden,63.6,83.4,96.1,74.6,55.4,44.2
=132,Maastricht University,Netherlands,63.2,88.6,98.3,97.1,46.7,40.3
=132,University of Hamburg,Germany,63.2,85.2,99.6,66.3,53.5,44.5
=134,University of Lausanne,Switzerland,63.0,89.5,99.0,89.8,46.0,41.0
=134,Wuhan University,China,63.0,90.1,98.2,40.9,46.3,52.8
=136,University of Arizona,United States,62.7,86.3,81.0,54.5,52.8,48.0
=136,University of Nottingham,United Kingdom,62.7,88.3,71.8,93.6,46.2,43.6
=136,Vrije Universiteit Amsterdam,Netherlands,62.7,92.9,73.0,86.2,49.6,37.4
139,Trinity College Dublin,Ireland,62.5,85.8,83.5,91.6,47.7,43.3
140,Technical University of Berlin,Germany,62.4,79.5,99.7,71.4,54.7,45.4
=141,Queen Mary University of London,United Kingdom,62.3,97.1,72.5,98.0,42.3,36.1
=141,University of Pittsburgh-Pittsburgh campus,United States,62.3,93.0,76.2,49.8,45.7,48.6
=143,Radboud University Nijmegen,Netherlands,62.2,90.4,81.0,79.0,50.4,38.4
=143,Texas A&M University,United States,62.2,74.3,73.2,64.3,57.3,52.7
=143,University of Colorado Boulder,United States,62.2,86.6,73.3,56.3,52.6,47.0
=146,Beijing Normal University,China,62.1,79.9,80.7,52.0,48.4,57.5
=146,University of Bologna,Italy,62.1,83.8,79.8,57.0,47.7,53.1
=146,University of York,United Kingdom,62.1,90.6,66.8,92.9,44.2,42.4
=149,The University of Western Australia,Australia,62.0,87.6,98.3,93.0,47.2,37.8
=149,University of Barcelona,Spain,62.0,90.2,80.5,65.6,50.1,41.6
151,Pohang University of Science and Technology (POSTECH),South Korea,61.9,78.8,100.0,43.0,50.0,55.9
=152,Harbin Institute of Technology,China,61.8,74.7,99.9,33.7,55.2,57.3
=152,University of Auckland,New Zealand,61.8,87.8,87.4,88.5,46.4,40.4
=154,Scuola Normale Superiore di Pisa,Italy,61.7,82.6,36.4,59.0,46.5,59.5
=154,Tongji University,China,61.7,72.8,99.0,70.1,53.3,51.6
=154,University of Technology Sydney,Australia,61.7,94.9,88.2,93.0,42.5,35.2
=157,Newcastle University,United Kingdom,61.4,93.0,82.9,90.8,42.9,37.1
=157,University of Cologne,Germany,61.4,86.0,96.5,70.5,47.5,42.9
159,Case Western Reserve University,United States,61.2,88.6,70.9,66.3,40.3,51.1
=160,TU Dresden,Germany,61.1,78.6,99.8,65.9,50.6,47.2
=160,University of Liverpool,United Kingdom,61.1,92.1,65.7,95.5,40.7,40.1
162,The University of Osaka,Japan,61.0,51.8,100.0,50.7,65.4,63.5
=163,University of Virginia (Main campus),United States,60.9,87.3,85.2,60.1,42.2,49.3
=163,University of Waterloo,Canada,60.9,83.1,77.1,88.4,48.9,41.0
=163,University of Würzburg,Germany,60.9,92.7,99.9,61.0,44.1,39.8
=166,Huazhong University of Science and Technology,China,60.8,88.3,99.7,33.0,48.4,46.7
=166,Karlsruhe Institute of Technology,Germany,60.8,71.1,100.0,73.1,56.9,45.8
=168,Dartmouth College,United States,60.7,83.2,75.9,60.5,39.4,56.8
=168,Lancaster University,United Kingdom,60.7,89.1,66.4,96.2,40.8,41.6
=168,University of Antwerp,Belgium,60.7,89.9,98.5,75.3,44.6,38.1
171,University of Geneva,Switzerland,60.6,86.4,84.0,96.5,39.0,43.2
=172,Durham University,United Kingdom,60.4,83.7,62.5,95.5,43.9,43.6
=172,National Taiwan University (NTU),Taiwan,60.4,69.0,100.0,55.0,54.6,53.3
=172,University of Exeter,United Kingdom,60.4,94.9,56.0,94.9,42.3,34.8
175,Université Catholique de Louvain,Belgium,60.2,81.1,94.0,82.6,49.4,39.4
=176,King Fahd University of Petroleum and Minerals,Saudi Arabia,60.1,88.7,91.6,92.1,41.5,36.9
=176,Pompeu Fabra University,Spain,60.1,90.0,83.9,82.2,44.6,36.0
178,Macquarie University,Australia,59.9,89.4,93.4,87.4,42.7,35.2
179,Tufts University,United States,59.8,89.1,72.7,63.1,36.3,50.7
=180,University of Cape Town,South Africa,59.7,86.6,80.6,82.4,45.3,37.8
=180,University of Macau,Macao,59.7,90.7,70.4,96.6,39.0,37.7
=180,University of Twente,Netherlands,59.7,74.6,99.3,93.1,46.4,43.6
=183,Southern University of Science and Technology (SUSTech),China,59.6,93.2,80.9,67.1,43.3,36.7
=183,Université Paris Cité,France,59.6,90.7,67.0,73.8,37.8,44.7
=185,Eindhoven University of Technology,Netherlands,59.5,68.0,100.0,88.4,51.0,46.2
=185,Sapienza University of Rome,Italy,59.5,73.7,93.0,42.6,50.8,53.4
=185,University of St Andrews,United Kingdom,59.5,76.9,65.5,94.8,44.0,47.4
188,University of Münster,Germany,59.4,83.9,82.2,54.7,47.9,44.0
=189,Indiana University,United States,59.3,87.4,85.0,64.0,38.3,46.6
=189,Korea University,South Korea,59.3,72.6,99.8,65.7,48.6,49.3
=191,Abu Dhabi University,United Arab Emirates,59.2,87.4,25.4,97.9,39.2,45.1
=191,Stockholm University,Sweden,59.2,89.3,65.1,79.6,49.0,32.8
=191,University of Leicester,United Kingdom,59.2,96.1,69.7,95.5,34.9,34.9
=191,University of Ottawa,Canada,59.2,85.1,81.4,87.0,44.7,37.2
195,Tokyo Institute of Technology,Japan,59.1,47.5,100.0,57.6,63.9,61.1
=196,Aalto University,Finland,58.9,81.3,88.2,82.7,43.1,41.7
=196,"University of California, Santa Cruz",United States,58.9,93.2,71.9,73.9,41.7,35.3
=196,University of Notre Dame,United States,58.9,72.4,73.9,72.3,45.1,53.2
=199,Ulm University,Germany,58.7,87.9,99.7,65.3,40.5,39.7
=199,Universitat Autònoma de Barcelona (UAB),Spain,58.7,84.1,72.4,70.3,42.4,43.9
=199,University of Mannheim,Germany,58.7,87.1,94.4,66.6,44.8,36.6
=199,University of São Paulo,Brazil,58.7,55.7,93.9,43.0,60.7,58.8
201–250,Arizona State University (Tempe),United States,55.8–58.6,84.4,70.9,71.5,45.2,38.5
201–250,Beijing Institute of Technology,China,55.8–58.6,76.3,98.5,42.4,44.0,45.4
201–250,Cardiff University,United Kingdom,55.8–58.6,88.3,70.2,91.9,38.9,37.6
201–250,Chalmers University of Technology,Sweden,55.8–58.6,74.0,94.6,78.6,46.0,41.7
201–250,Deakin University,Australia,55.8–58.6,91.5,76.8,85.4,36.3,29.8
201–250,Friedrich Schiller University Jena,Germany,55.8–58.6,83.0,78.0,64.2,42.3,42.6
201–250,Georgetown University,United States,55.8–58.6,83.7,92.3,54.3,34.7,50.4
201–250,George Washington University,United States,55.8–58.6,86.3,67.8,68.3,35.1,48.6
201–250,Goethe University Frankfurt,Germany,55.8–58.6,82.5,83.9,68.7,43.3,42.5
201–250,Indian Institute of Science,India,55.8–58.6,53.7,97.3,31.6,56.6,61.4
201–250,Khalifa University,United Arab Emirates,55.8–58.6,87.8,95.4,94.7,39.8,29.6
201–250,Linköping University,Sweden,55.8–58.6,88.4,95.3,73.0,41.2,29.8
201–250,Medical University of Graz,Austria,55.8–58.6,92.0,96.6,82.6,34.6,30.5
201–250,Medical University of Vienna,Austria,55.8–58.6,93.9,97.5,81.0,29.7,39.7
201–250,Nagoya University,Japan,55.8–58.6,54.9,99.7,42.9,55.9,55.0
201–250,Nankai University,China,55.8–58.6,86.4,76.0,49.2,32.3,50.0
201–250,"Northeastern University, US",United States,55.8–58.6,91.9,69.5,82.7,32.7,39.5
201–250,Politecnico di Milano,Italy,55.8–58.6,69.4,96.3,64.4,49.6,43.3
201–250,Qatar University,Qatar,55.8–58.6,87.5,69.0,95.1,37.4,31.0
201–250,Queensland University of Technology,Australia,55.8–58.6,88.7,86.7,80.8,40.0,33.1
201–250,Queen’s University Belfast,United Kingdom,55.8–58.6,89.8,67.6,98.3,37.8,35.2
201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,55.8–58.6,80.2,92.3,60.0,39.5,49.9
201–250,Sejong University,South Korea,55.8–58.6,94.3,83.2,68.9,34.9,31.8
201–250,Sichuan University,China,55.8–58.6,72.8,98.8,44.6,49.1,48.2
201–250,Sun Yat-sen University,China,55.8–58.6,83.7,93.7,37.1,38.1,47.1
201–250,Tel Aviv University,Israel,55.8–58.6,79.5,78.7,54.9,49.1,40.4
201–250,Tianjin University,China,55.8–58.6,73.4,99.6,57.3,47.7,46.8
201–250,Ulsan National Institute of Science and Technology (UNIST),South Korea,55.8–58.6,83.2,97.0,41.6,39.8,48.0
201–250,Université Libre de Bruxelles,Belgium,55.8–58.6,82.9,68.6,88.3,45.5,36.3
201–250,Universiti Teknologi Petronas,Malaysia,55.8–58.6,82.2,80.2,78.0,39.1,36.8
201–250,University College Dublin,Ireland,55.8–58.6,85.9,76.0,89.4,41.2,32.7
201–250,University of Aberdeen,United Kingdom,55.8–58.6,81.9,79.1,97.4,36.0,34.8
201–250,University of Calgary,Canada,55.8–58.6,83.6,88.9,85.7,42.8,34.4
201–250,University of Erlangen-Nuremberg,Germany,55.8–58.6,78.5,100.0,61.8,48.4,42.1
201–250,University of Gothenburg,Sweden,55.8–58.6,90.2,77.3,64.4,43.4,34.6
201–250,University of Illinois Chicago,United States,55.8–58.6,79.8,77.4,60.1,34.9,49.5
201–250,University of Luxembourg,Luxembourg,55.8–58.6,77.1,81.3,92.7,39.5,39.2
201–250,University of Miami,United States,55.8–58.6,83.6,79.9,65.6,34.8,46.5
201–250,University of Padua,Italy,55.8–58.6,82.3,80.7,54.5,39.9,45.6
201–250,University of Potsdam,Germany,55.8–58.6,81.8,91.2,66.3,45.2,37.7
201–250,University of Reading,United Kingdom,55.8–58.6,86.6,66.6,95.3,38.5,38.6
201–250,University of Surrey,United Kingdom,55.8–58.6,89.0,73.3,96.8,34.7,33.8
201–250,University of Sussex,United Kingdom,55.8–58.6,89.6,62.7,95.5,36.0,31.8
201–250,University of Utah,United States,55.8–58.6,89.0,88.5,41.6,39.0,44.0
201–250,University of Wollongong,Australia,55.8–58.6,85.4,91.2,92.0,37.4,34.6
201–250,Vita-Salute San Raffaele University,Italy,55.8–58.6,99.0,67.2,48.0,33.5,34.2
201–250,Vrije Universiteit Brussel,Belgium,55.8–58.6,81.1,90.4,78.3,42.7,37.6
201–250,Western University,Canada,55.8–58.6,76.7,99.5,87.0,42.1,39.5
201–250,Xi’an Jiaotong University,China,55.8–58.6,74.0,99.9,34.0,49.1,45.6
251–300,Aalborg University,Denmark,53.7–55.7,80.9,87.6,73.5,44.7,31.7
251–300,Beihang University,China,53.7–55.7,71.3,99.9,35.8,46.3,44.1
251–300,Boston College,United States,53.7–55.7,85.3,58.3,60.5,32.3,46.3
251–300,Curtin University,Australia,53.7–55.7,88.9,76.6,94.8,34.7,28.2
251–300,East China Normal University,China,53.7–55.7,78.5,87.2,52.8,36.0,43.9
251–300,École Normale Supérieure de Lyon,France,53.7–55.7,53.0,86.3,67.1,45.4,56.7
251–300,Hanyang University,South Korea,53.7–55.7,64.8,99.5,68.7,41.1,45.2
251–300,Heinrich Heine University Düsseldorf,Germany,53.7–55.7,85.4,84.2,69.1,34.6,37.1
251–300,Hong Kong Baptist University,Hong Kong,53.7–55.7,80.8,70.4,98.1,40.0,32.3
251–300,Humanitas University,Italy,53.7–55.7,98.4,64.3,65.8,28.0,32.2
251–300,Johannes Gutenberg University of Mainz,Germany,53.7–55.7,81.8,82.9,65.7,33.2,38.7
251–300,King Saud University,Saudi Arabia,53.7–55.7,83.3,84.6,82.9,29.9,35.5
251–300,Kyung Hee University,South Korea,53.7–55.7,71.8,99.9,72.1,39.8,40.2
251–300,LUT University,Finland,53.7–55.7,87.2,80.7,70.1,35.6,31.7
251–300,La Trobe University,Australia,53.7–55.7,89.3,77.2,88.1,36.2,29.2
251–300,Lebanese American University,Lebanon,53.7–55.7,91.4,29.0,85.2,30.6,37.2
251–300,Macau University of Science and Technology,Macao,53.7–55.7,79.6,73.9,98.0,36.7,33.9
251–300,Medical University of Innsbruck,Austria,53.7–55.7,89.8,99.0,88.5,30.2,31.5
251–300,Moscow Institute of Physics and Technology (MIPT)Russian Federation,Russian Federation,53.7–55.7,47.2,73.1,72.0,46.9,60.2
251–300,North Carolina State University,United States,53.7–55.7,71.1,79.5,62.4,40.7,44.9
251–300,Northwestern Polytechnical University,China,53.7–55.7,76.3,99.2,49.1,41.9,37.7
251–300,Prince Mohammad Bin Fahd University,Saudi Arabia,53.7–55.7,79.2,46.0,90.9,37.3,39.1
251–300,RCSI University of Medicine and Health Sciences,Ireland,53.7–55.7,82.6,80.4,91.6,36.6,32.0
251–300,RMIT University,Australia,53.7–55.7,82.8,77.0,92.9,36.5,34.0
251–300,Semmelweis University,Hungary,53.7–55.7,80.1,74.7,78.5,29.6,45.0
251–300,South China University of Technology,China,53.7–55.7,84.3,99.5,44.6,38.0,36.4
251–300,Southern Medical University,China,53.7–55.7,81.5,71.0,31.0,39.0,45.0
251–300,Stony Brook University,United States,53.7–55.7,81.4,68.0,76.4,31.7,44.0
251–300,Swinburne University of Technology,Australia,53.7–55.7,91.4,73.5,72.1,34.5,32.7
251–300,Technical University of Darmstadt,Germany,53.7–55.7,65.0,99.9,68.8,48.0,42.7
251–300,Tilburg University,Netherlands,53.7–55.7,76.6,80.5,85.7,43.8,28.2
251–300,United Arab Emirates University,United Arab Emirates,53.7–55.7,88.9,81.3,88.2,37.3,28.4
251–300,Université Laval,Canada,53.7–55.7,70.8,96.0,76.1,38.9,40.5
251–300,University at Buffalo,United States,53.7–55.7,75.9,78.2,73.9,35.3,40.9
251–300,University of Bath,United Kingdom,53.7–55.7,81.3,66.6,94.5,35.5,37.5
251–300,University of Bergen,Norway,53.7–55.7,82.1,76.7,77.4,37.1,35.2
251–300,"University of California, Riverside",United States,53.7–55.7,83.9,69.8,76.1,34.8,37.0
251–300,University of Duisburg-Essen,Germany,53.7–55.7,82.9,90.1,65.0,36.0,35.4
251–300,University of East Anglia,United Kingdom,53.7–55.7,90.1,59.7,88.8,31.3,31.5
251–300,University of Hawai’i at Mānoa,United States,53.7–55.7,75.7,67.8,76.7,43.4,40.6
251–300,University of Iowa,United States,53.7–55.7,78.0,91.5,54.3,33.2,46.5
251–300,University of Konstanz,Germany,53.7–55.7,73.4,96.6,74.6,43.2,38.6
251–300,University of Liège,Belgium,53.7–55.7,72.9,96.7,74.5,42.8,34.0
251–300,University of Malaya,Malaysia,53.7–55.7,69.2,60.8,88.9,36.7,45.5
251–300,University of Navarra,Spain,53.7–55.7,84.5,87.0,75.9,32.3,37.2
251–300,University of Newcastle,Australia,53.7–55.7,84.8,84.6,83.3,36.0,31.7
251–300,University of Oulu,Finland,53.7–55.7,84.7,69.7,63.6,38.9,34.3
251–300,University of Southern Denmark,Denmark,53.7–55.7,88.3,95.0,76.8,35.0,30.3
251–300,University of Stuttgart,Germany,53.7–55.7,62.9,99.9,61.1,49.7,43.5
251–300,University of Tasmania,Australia,53.7–55.7,81.6,76.7,90.0,36.3,32.0
251–300,Virginia Polytechnic Institute and State University,United States,53.7–55.7,79.7,77.9,65.3,40.6,40.7
301–350,"Birkbeck, University of London",United Kingdom,51.1–53.6,77.8,64.6,91.6,32.2,34.7
301–350,"China Medical University, Taiwan",Taiwan,51.1–53.6,92.1,93.6,51.3,32.5,26.7
301–350,Dalhousie University,Canada,51.1–53.6,76.9,78.2,88.5,32.9,29.6
301–350,Flinders University,Australia,51.1–53.6,78.9,71.6,88.3,37.3,27.2
301–350,Florida State University,United States,51.1–53.6,76.3,67.3,58.0,40.5,37.3
301–350,Griffith University,Australia,51.1–53.6,83.1,78.4,82.5,36.1,28.5
301–350,Hasselt University,Belgium,51.1–53.6,73.4,88.5,72.1,38.2,33.1
301–350,Hebrew University of Jerusalem,Israel,51.1–53.6,70.9,72.0,45.6,37.2,45.1
301–350,Hunan University,China,51.1–53.6,91.7,93.1,32.9,32.9,34.2
301–350,King Khalid University,Saudi Arabia,51.1–53.6,74.3,58.5,90.9,30.2,39.0
301–350,Kyushu University,Japan,51.1–53.6,53.3,98.5,49.2,47.6,53.8
301–350,Loughborough University,United Kingdom,51.1–53.6,76.2,70.2,91.2,33.9,35.6
301–350,Norwegian University of Science and Technology,Norway,51.1–53.6,75.4,72.3,66.3,39.3,35.3
301–350,Oregon Health and Science University,United States,51.1–53.6,91.6,89.4,33.7,21.2,39.0
301–350,Queen’s University,Canada,51.1–53.6,76.2,79.8,76.3,36.4,35.0
301–350,Ruhr University Bochum,Germany,51.1–53.6,71.8,74.9,61.9,39.3,35.8
301–350,Rutgers University–New Brunswick,United States,51.1–53.6,79.2,69.1,61.8,29.9,44.1
301–350,Sharif University of Technology,Iran,51.1–53.6,78.7,95.4,31.6,36.6,36.5
301–350,Simon Fraser University,Canada,51.1–53.6,81.8,84.5,92.2,35.5,28.6
301–350,Southeast University,China,51.1–53.6,71.4,99.3,46.3,45.4,37.6
301–350,Stellenbosch University,South Africa,51.1–53.6,74.6,89.5,59.6,40.1,31.2
301–350,"St George’s, University of London",United Kingdom,51.1–53.6,95.9,70.7,77.5,27.0,23.0
301–350,Swansea University,United Kingdom,51.1–53.6,89.1,58.4,89.8,30.5,27.6
301–350,Tampere University,Finland,51.1–53.6,80.4,93.5,53.7,38.9,30.2
301–350,Technion Israel Institute of Technology,Israel,51.1–53.6,63.6,74.6,71.8,40.8,40.7
